ulcerative colitis_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
1,2,tnf,tnf,0.8600666658188465,-11.234991543822819,0.0001660423974196116,0.5881700913111368,3,-7.980760340889295,-18.58003870646159,-7.144175584117572,0.9991740076201211,0.5346568759026601,1.0,0.8600666658188465
2,8,il6,il6,0.8337685606090035,-11.196973820527395,-0.041441693902015686,0.5862068831920624,3,-8.554637451966604,-18.42414164543152,-6.612142364184062,1.0,0.4488189926056245,0.9970762094243875,0.8337685606090035
3,23,tgfb1,tgfb1,0.8058898821442981,-13.449994328949186,-0.023815348744392395,0.5432163079579672,3,-8.78789676229159,-21.476467688878376,-10.085618535677591,0.9510497312738572,0.4851826185357829,0.9330506802467345,0.8058898821442981
4,32,ins,ins,0.7911968460713455,-13.759729492167631,-0.03319355472922325,0.5293461779753367,3,-9.28801310310761,-21.891053279240925,-10.100122094154358,0.9443202676862846,0.46583512639950925,0.9123940035899296,0.7911968460713455
5,16,il4,il4,0.8181815296551773,-15.072208056847254,0.0036531975492835045,0.5642311175664266,3,-9.318954090277353,-25.273297627766926,-10.624372452497482,0.9158046912864172,0.5418509711259661,0.9643478726760687,0.8181815296551773
6,133,epo,epo,0.7120127705552926,-16.581174542506535,-0.09462378919124603,0.4920928080876668,3,-9.466656357049942,-27.01626185576121,-13.260605414708456,0.8830201184449092,0.33910289423209367,0.856912849692336,0.7120127705552926
7,34,cd8a,cd8a,0.7856122596591002,-13.739499485327137,-0.03338452739020189,0.5167178014914194,3,-9.999802199502787,-19.88383412361145,-11.334862132867178,0.9447597950973634,0.4654411446440963,0.8935866607564197,0.7856122596591002
8,14,vegfa,vegfa,0.8259466849099595,-12.735465983549753,-0.017742283642292023,0.5657962759335836,3,-10.04344266653061,-17.473371247450512,-10.689584036668142,0.9665739372848575,0.49771151579993095,0.9666788508534572,0.8259466849099595
9,62,cd4,cd4,0.7565836561942141,-14.119799968269136,-0.07505158583323161,0.5168622036774954,3,-10.353542943795523,-20.92029897371928,-11.085557987292608,0.9364971935066957,0.37948087816326675,0.8938017178085196,0.7565836561942141
10,606,plcb1,plcb1,0.6277999933837229,-19.593272818459404,-0.07327879468599956,0.3326291044553121,3,-10.38998826344808,-33.21493228276571,-15.174897909164429,0.8175777403190545,0.38313819416120987,0.6194247966924608,0.6277999933837229
11,6,bcl2,bcl2,0.8455998423569089,-14.778119636906517,0.0410432710001866,0.5680841505527496,3,-10.562175234158834,-22.205535411834717,-11.566648264726004,0.9221942057766469,0.6189877020994742,0.9700861647213594,0.8455998423569089
12,19,il10,il10,0.8115715914758644,-13.799077642460665,-0.02516247828801473,0.5645893315474192,3,-10.690303047498068,-21.457926054795582,-9.249003825088343,0.9434653697732293,0.4824034539179516,0.9648813579706244,0.8115715914758644
13,51,stat3,stat3,0.7685127231836724,-15.04737054473824,-0.06896371049030374,0.5531711280345917,3,-10.726841097076734,-22.248425881067913,-12.166844656070074,0.9163443236988522,0.3920403293540838,0.9478763163263543,0.7685127231836724
14,61,ep300,ep300,0.7577531557453603,-19.134654574924046,0.001441140038271745,0.5110644698143005,3,-10.744432091712952,-31.474120775858562,-15.185410857200623,0.8275419133835478,0.5372874367603838,0.88516719787942,0.7577531557453603
15,72,hif1a,hif1a,0.7470266224668142,-16.76170041826036,-0.03439964695523182,0.4905473788579305,3,-10.924297173817953,-24.725804924964905,-14.63499915599823,0.8790979215109976,0.46334692557559204,0.8546112539657916,0.7470266224668142
16,17,egfr,egfr,0.812455960066719,-15.700197360581821,-0.0036258970697720847,0.5737146536509196,3,-10.953045969208082,-23.15773304303487,-12.989813069502512,0.9021606764804964,0.526834002408371,0.9784716291733643,0.812455960066719
17,207,ephx1,ephx1,0.6893967413218032,-18.99616105026669,-0.027150902276237805,0.39498212436834973,3,-11.189316630363464,-29.294406255086262,-16.504760265350342,0.8305508940934292,0.47830128154746304,0.7122866640673087,0.6893967413218032
18,5,il17a,il17a,0.8487065924740946,-15.429516947931713,0.05280118823672334,0.5714206695556641,3,-11.199399123589197,-24.82478467623393,-10.264367043972015,0.9080416167065608,0.6432446027946399,0.9750552165102611,0.8487065924740946
19,29,cyp3a4,cyp3a4,0.7968328382029539,-16.431268407238854,0.02047693960291023,0.5195790628592173,3,-11.228422264258066,-24.409136692682903,-13.656246264775595,0.8862770553336865,0.5765588051841781,0.8978479150474193,0.7968328382029539
20,15,ccl2,ccl2,0.8207291220640116,-15.560151868396336,0.001164342276751995,0.5828719437122345,3,-11.253719886144003,-24.000227292378742,-11.42650842666626,0.9052033760257242,0.5367163955054782,0.992109510006928,0.8207291220640116
21,22,bdnf,bdnf,0.8075467619283372,-14.384839317864841,0.004898618906736374,0.5253329575061798,3,-11.352756624420484,-19.177962064743042,-12.623799264431,0.930738813883778,0.5444203090098473,0.9064171455729061,0.8075467619283372
22,702,igf1,igf1,0.6194219465545349,-16.622583667437237,-0.2071027010679245,0.441471795241038,3,-11.39823297659556,-23.78541413942973,-14.684103886286417,0.8821204427493285,0.10705586236367398,0.7815233691523374,0.6194219465545349
23,13,tlr2,tlr2,0.8259501793271105,-16.34831779036257,0.051281578838825226,0.5404641727606455,3,-11.48767808576425,-27.943312009175617,-9.613963276147842,0.8880792825978927,0.6401096075808862,0.9289519467122919,0.8259501793271105
24,1,camp,camp,0.8858919071091294,-13.492509772380194,0.09584228570262592,0.5573492646217346,3,-11.565384050210318,-20.304357290267944,-8.607787976662317,0.9501260191402215,0.7320395488754873,0.9540987826346483,0.8858919071091294
25,9,hgf,hgf,0.833696986517888,-16.441829204559326,0.041638036568959556,0.5729806125164032,3,-11.617183128992716,-24.477273384730022,-13.23103109995524,0.8860476060832838,0.6202147195251282,0.9773784274234537,0.833696986517888
26,115,il1b,il1b,0.7213240129946358,-14.953670481840769,-0.12027673919995625,0.5168116390705109,3,-11.651986002922058,-23.881643335024517,-9.327382107575735,0.9183800988910188,0.2861801657946363,0.8937264123327912,0.7213240129946358
27,40,akt1,akt1,0.7787710572532283,-16.030849523014492,-0.026899935056765873,0.5369928578535715,3,-11.684354623158773,-24.069880723953247,-12.338313221931458,0.8949767595363505,0.47881903369676,0.9237821444322001,0.7787710572532283
28,255,fgf2,fgf2,0.6769459195575958,-17.301598562134636,-0.09296912948290507,0.4253272811571757,3,-11.75331461429596,-26.220361948013306,-13.931119124094645,0.867367820018977,0.34251650188233257,0.7574794699510172,0.6769459195575958
29,82,csf3,csf3,0.738412360739324,-17.04578936100006,-0.07575999293476343,0.5340868433316549,3,-11.780771176020304,-27.619208256403606,-11.737388650576273,0.8729256607449493,0.3780194151874763,0.9194542396170048,0.738412360739324
30,88,hmox1,hmox1,0.7336703565029445,-17.914372113015915,-0.0405535309885939,0.4915989637374878,3,-11.801875948905945,-28.002108732859295,-13.93913165728251,0.8540543903933752,0.4506512966743294,0.8561773711443188,0.7336703565029445
31,118,mpo,mpo,0.7182620580961434,-20.17985804544555,-0.049465139086047806,0.5135234892368317,3,-11.837276438872019,-34.36979993184408,-14.33249776562055,0.8048332915293404,0.43226640857676313,0.8888293963712611,0.7182620580961434
32,57,ifng,ifng,0.7610032348830535,-17.968576069507336,-0.02917318046092987,0.5380652248859406,3,-11.908790330092112,-28.296674251556396,-13.700263626873493,0.852876727683978,0.47412926705567504,0.9253792123091994,0.7610032348830535
33,167,pten,pten,0.700504017680969,-17.246009522014194,-0.0928320363163948,0.4767838219801585,3,-12.056158741315206,-26.711852709452312,-12.970017115275065,0.8685755757593053,0.3427993287860373,0.8341132958047855,0.700504017680969
34,35,il2,il2,0.7846068310570434,-15.078105939759148,-0.04078691452741623,0.5507591764132181,3,-12.05818341175715,-21.776732047398884,-11.399402360121409,0.9156765508845107,0.4501698201329307,0.944284215544533,0.7846068310570434
35,64,tp53,tp53,0.7546518128944899,-14.081599007050196,-0.07385650680710872,0.5101398229598999,3,-12.065609534581503,-19.73763382434845,-10.441553662220636,0.9373271670068366,0.38194635845848934,0.883790128514028,0.7546518128944899
36,184,pcna,pcna,0.6935627265853694,-18.72178938653734,-0.06512921427687009,0.45157861709594727,3,-12.155847668647766,-27.095491727193195,-16.914028763771057,0.8365120323166221,0.39995099856480243,0.7965753802975994,0.6935627265853694
37,67,ppara,ppara,0.751941460449668,-19.71825595696767,0.0085305484632651,0.4995880126953125,3,-12.213582754135132,-32.57930850982666,-14.361876606941223,0.8148622931256767,0.5519130777385464,0.8680753995927782,0.751941460449668
38,473,cdh1,cdh1,0.6421125957537543,-16.529042190975613,-0.15193664655089378,0.41402027507623035,3,-12.264589428901672,-22.42507521311442,-14.897461930910746,0.884152772411984,0.22086492218640333,0.7406400337767991,0.6421125957537543
39,7,cd34,cd34,0.8385665367068569,-17.50698486963908,0.056943416595458984,0.5833966831366221,3,-12.283286372820536,-27.01880383491516,-13.21886440118154,0.8629054927088474,0.6517901317291627,0.9928910003485634,0.8385665367068569
40,2139,dysf,dysf,0.5388772780724173,-28.373089306884342,-0.0239528208039701,0.23605289806922278,3,-12.340774357318878,-49.43505748112997,-23.34343608220418,0.6268229847062564,0.4848990099654508,0.47559460400093156,0.5388772780724173
41,21,nfkb1,nfkb1,0.8079258246714978,-15.872593747244942,0.0159956490000089,0.5397480924924215,3,-12.349202235539755,-25.194615999857586,-10.073963006337484,0.8984151049586075,0.567313781686056,0.9278854939407933,0.8079258246714978
42,875,edn1,edn1,0.605127580082197,-18.938618964619106,-0.18418693045775095,0.4227842191855113,3,-12.353314797083536,-31.39950700600942,-13.063035090764364,0.8318010826935699,0.1543317158045258,0.7536921075447043,0.605127580082197
43,341,nos3,nos3,0.6607094984008417,-18.508322030305862,-0.117221400141716,0.44605448842048645,3,-12.356732457876205,-27.14618984858195,-16.02204378445943,0.8411499325988124,0.292483412758775,0.7883483384456141,0.6607094984008417
44,124,myc,myc,0.7158096214519141,-15.788689215977987,-0.10771038134892781,0.5033041139443716,3,-12.392637689908346,-23.633169134457905,-11.340260823567709,0.9002380574517189,0.31210490130349894,0.8736097602672558,0.7158096214519141
45,109,nr3c1,nr3c1,0.724693307316048,-16.58474848005507,-0.07247578104337056,0.4898635943730672,3,-12.392754783233007,-25.987140615781147,-11.374350041151047,0.882942469261177,0.38479483298543865,0.8535928990531522,0.724693307316048
46,180,actb,actb,0.6959942401737114,-20.24598611725701,0.0021288221081097922,0.3934999306996663,3,-12.449642578760782,-31.271628856658936,-17.01668691635132,0.8033965594297376,0.5387061434362629,0.7100792445697914,0.6959942401737114
47,303,pparg,pparg,0.6680098868408639,-18.510115540689892,-0.1030004018296798,0.4427296072244644,3,-12.49954929947853,-27.268409252166748,-15.762388070424398,0.8411109658806076,0.32182171621010863,0.7833966187519612,0.6680098868408639
48,218,dpp4,dpp4,0.6860602534150826,-21.258608473671806,-0.024500879148642223,0.42785103619098663,3,-12.555750052134195,-35.29413112004598,-15.925944248835245,0.7813958114208676,0.4837683508041023,0.7612380786850161,0.6860602534150826
49,31,kit,kit,0.7915243709522006,-17.83356022834778,0.016932491057862837,0.5398839712142944,3,-12.561779975891113,-28.22430658340454,-12.71459412574768,0.8558101504745571,0.5692465121439471,0.9280878570639786,0.7915243709522006
50,87,ace,ace,0.7345906907409548,-16.189758208062912,-0.069263756275177,0.49988341331481934,3,-12.576340675354004,-25.289307554562885,-10.70362639427185,0.8915242286752412,0.39142132679935776,0.868515337436837,0.7345906907409548
